symbol,ca,datetime_utc,open,high,low,close,volume
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:13,6.844316022448518e-05,6.888450764433439e-05,6.798740057844258e-05,6.888450764433439e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:14,6.888450764433439e-05,6.977356708243946e-05,6.615287252319581e-05,6.615287252319581e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:15,6.615287252319581e-05,6.839888655552529e-05,6.593890187044008e-05,6.790027438134211e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:16,6.790027438134211e-05,6.881060728936172e-05,6.705402777437935e-05,6.705402777437935e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:17,6.705402777437935e-05,6.705402777437935e-05,6.666637751095104e-05,6.666637751095104e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:18,6.666637751095104e-05,6.725931176763755e-05,6.666637751095104e-05,6.725931176763755e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:19,6.725931176763755e-05,6.725931176763755e-05,6.612011407491749e-05,6.612011407491749e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:20,6.612011407491749e-05,7.303481546313612e-05,6.585462809023168e-05,7.270935513728976e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:21,7.270935513728976e-05,7.30791565304911e-05,7.104459568986578e-05,7.198659027871737e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:22,7.198659027871737e-05,7.334480537396043e-05,7.198659027871737e-05,7.334480537396043e-05,
